num,lam,dev loss,percent correct,epoch,l2,l0,re loss,test loss,emp best,best
1,0.2511886293612277,1.6094361543655396,0.0,5,0.0,5.891226768493652,1.479809045791626,1.6094355583190918,0.8837591409683228,0.88173907995224
1,0.2511886293612277,1.6094361543655396,0.0,10,0.0,5.891226768493652,1.479809045791626,1.6094355583190918,0.8837591409683228,0.88173907995224
1,0.2511886293612277,1.6094361543655396,0.0,15,0.0,5.891226768493652,1.479809045791626,1.6094355583190918,0.8837591409683228,0.88173907995224
1,0.2511886293612277,1.6094361543655396,0.0,20,0.0,5.891226768493652,1.479809045791626,1.6094355583190918,0.8837591409683228,0.88173907995224
1,0.2511886293612277,1.6094361543655396,0.0,25,0.0,5.894225120544434,1.4805622100830078,1.6094355583190918,0.8837591409683228,0.88173907995224
1,0.2511886293612277,1.6094361543655396,0.0,30,0.0,5.897380352020264,1.4813547134399414,1.6094355583190918,0.8837591409683228,0.88173907995224
1,0.2511886293612277,1.6094361543655396,0.0,35,0.0,5.891226768493652,1.479809045791626,1.6094355583190918,0.8837591409683228,0.88173907995224
1,0.2511886293612277,1.6094361543655396,0.0,40,0.0,5.891378402709961,1.4798471927642822,1.6094355583190918,0.8837591409683228,0.88173907995224
1,0.2511886293612277,1.6094361543655396,0.0,45,0.0,5.90516471862793,1.4833101034164429,1.6094355583190918,0.8837591409683228,0.88173907995224
1,0.2511886293612277,1.6094361543655396,0.0,50,0.0,5.908496856689453,1.4841471910476685,1.6094355583190918,0.8837591409683228,0.88173907995224
1,0.2511886293612277,3.089245319366455,0.0,2,0.0,5.891226768493652,1.479809045791626,1.6094355583190918,0.8837591409683228,0.88173907995224
2,0.2511886293612277,1.609436273574829,0.0,5,0.0,5.891435623168945,1.4798614978790283,1.6094365119934082,0.8812825083732605,0.8800882697105408
2,0.2511886293612277,1.609436273574829,0.0,10,0.0,5.891703128814697,1.479928731918335,1.6094365119934082,0.8812825083732605,0.8800882697105408
2,0.2511886293612277,1.609436273574829,0.0,15,0.0,5.891243934631348,1.4798133373260498,1.6094365119934082,0.8812825083732605,0.8800882697105408
2,0.2511886293612277,1.609436273574829,0.0,20,0.0,5.8936052322387695,1.4804065227508545,1.6094365119934082,0.8812825083732605,0.8800882697105408
2,0.2511886293612277,1.609436273574829,0.0,25,0.0,5.901124954223633,1.482295274734497,1.6094365119934082,0.8812825083732605,0.8800882697105408
2,0.2511886293612277,1.609436273574829,0.0,30,0.0,5.891226768493652,1.479809045791626,1.6094365119934082,0.8812825083732605,0.8800882697105408
2,0.2511886293612277,1.609436273574829,0.0,35,0.0,5.899592399597168,1.4819104671478271,1.6094365119934082,0.8812825083732605,0.8800882697105408
2,0.2511886293612277,1.609436273574829,0.0,40,0.0,5.900567054748535,1.4821553230285645,1.6094365119934082,0.8812825083732605,0.8800882697105408
2,0.2511886293612277,1.609436273574829,0.0,45,0.0,5.891226768493652,1.479809045791626,1.6094365119934082,0.8812825083732605,0.8800882697105408
2,0.2511886293612277,1.609436273574829,0.0,50,0.0,5.909551620483398,1.4844119548797607,1.6094365119934082,0.8812825083732605,0.8800882697105408
2,0.2511886293612277,3.089245319366455,0.0,2,0.0,5.891226768493652,1.479809045791626,1.6094365119934082,0.8812825083732605,0.8800882697105408
3,0.2511886293612277,1.60943603515625,0.0,5,0.0,5.892279148101807,1.48007333278656,1.6094368696212769,0.9672976732254028,0.9612704515457153
3,0.2511886293612277,1.60943603515625,0.0,10,0.0,5.892073631286621,1.4800217151641846,1.6094368696212769,0.9672976732254028,0.9612704515457153
3,0.2511886293612277,1.60943603515625,0.0,15,0.0,5.891226768493652,1.479809045791626,1.6094368696212769,0.9672976732254028,0.9612704515457153
3,0.2511886293612277,1.60943603515625,0.0,20,0.0,5.891226768493652,1.479809045791626,1.6094368696212769,0.9672976732254028,0.9612704515457153
3,0.2511886293612277,1.60943603515625,0.0,25,0.0,5.891226768493652,1.479809045791626,1.6094368696212769,0.9672976732254028,0.9612704515457153
3,0.2511886293612277,1.60943603515625,0.0,30,0.0,5.911070346832275,1.4847935438156128,1.6094368696212769,0.9672976732254028,0.9612704515457153
3,0.2511886293612277,1.60943603515625,0.0,35,0.0,5.891226768493652,1.479809045791626,1.6094368696212769,0.9672976732254028,0.9612704515457153
3,0.2511886293612277,1.60943603515625,0.0,40,0.0,5.897618770599365,1.481414556503296,1.6094368696212769,0.9672976732254028,0.9612704515457153
3,0.2511886293612277,1.60943603515625,0.0,45,0.0,5.9020795822143555,1.4825351238250732,1.6094368696212769,0.9672976732254028,0.9612704515457153
3,0.2511886293612277,1.60943603515625,0.0,50,0.0,5.908289909362793,1.4840950965881348,1.6094368696212769,0.9672976732254028,0.9612704515457153
3,0.2511886293612277,3.089245080947876,0.0,2,0.0,5.891226768493652,1.479809045791626,1.6094368696212769,0.9672976732254028,0.9612704515457153
