model num,lambda,loss,accuracy,epoch,l2,l0,re loss,l1 loss,l2 loss
1,0.0001,0.9064664840698242,0.4507584571838379,600,1684.9869384765625,52.75117492675781,0.005275117699056864,2.3787059783935547,0.9067624807357788
2,0.0001,0.8957930207252502,0.45739662647247314,600,1417.322509765625,35.88384246826172,0.003588384483009577,2.6717276573181152,0.9012816548347473
3,0.0001,0.9114416837692261,0.44864389300346375,600,1507.6143798828125,37.23704147338867,0.003723704256117344,2.2129054069519043,0.8988491892814636
4,0.0001,0.9147933721542358,0.452210396528244,600,1277.5194091796875,33.11212921142578,0.0033112126402556896,2.460758686065674,0.9086968898773193
5,0.0001,0.8931787610054016,0.4535823166370392,600,1214.0242919921875,45.507957458496094,0.004550795536488295,2.3829147815704346,0.9140393733978271
1,0.0002,0.90058434009552,0.46399998664855957,600,1219.55419921875,38.866600036621094,0.0077733201906085014,1.7459986209869385,0.936006486415863
2,0.0002,0.9138930439949036,0.4502560496330261,600,1082.766845703125,37.78706359863281,0.007557411678135395,2.3581066131591797,0.9113987684249878
3,0.0002,0.8964347243309021,0.4586015045642853,600,987.1744384765625,36.06157684326172,0.00721231522038579,2.166954517364502,0.9022694826126099
4,0.0002,0.9181941151618958,0.4516579508781433,600,1209.6103515625,31.260841369628906,0.006252167746424675,2.189960479736328,0.8924161791801453
5,0.0002,0.9070765376091003,0.4493936598300934,600,889.0343017578125,31.080198287963867,0.006216039881110191,2.353485345840454,0.8952659964561462
1,0.00030000000000000003,0.9052062034606934,0.44891318678855896,600,1246.9796142578125,30.544204711914062,0.009163261391222477,2.51701021194458,0.9054679870605469
2,0.00030000000000000003,0.8946022987365723,0.45514222979545593,600,1009.7161865234375,28.211387634277344,0.008463416248559952,2.317185401916504,0.8923766613006592
3,0.00030000000000000003,0.9006860852241516,0.45732399821281433,600,952.97314453125,26.42159652709961,0.00792647898197174,2.2683098316192627,0.8921998739242554
4,0.00030000000000000003,0.8908979892730713,0.4616197943687439,600,1754.1199951171875,38.52239990234375,0.011556720361113548,2.4616756439208984,0.9176709651947021
5,0.00030000000000000003,0.9064474105834961,0.45396220684051514,600,1372.5701904296875,32.016624450683594,0.009604987688362598,2.4406380653381348,0.9192742109298706
1,0.0004,0.8918236494064331,0.4584563374519348,600,1805.05419921875,28.275840759277344,0.011310335248708725,2.6255247592926025,0.9063090682029724
2,0.0004,0.8946139812469482,0.45683375000953674,600,1479.29248046875,32.96427917480469,0.013185711577534676,2.008199691772461,0.9126855134963989
3,0.0004,0.898223340511322,0.4563528597354889,600,1369.9002685546875,30.10140609741211,0.012040561065077782,2.461214542388916,0.8964251279830933
4,0.0004,0.9132206439971924,0.4582417905330658,600,2257.344970703125,30.063692092895508,0.012025476433336735,1.9887874126434326,0.899090588092804
5,0.0004,0.9189687967300415,0.45279213786125183,600,1469.26904296875,30.171964645385742,0.012068785727024078,2.3862524032592773,0.9070814251899719
1,0.0005,0.8980991840362549,0.46812570095062256,600,1641.867919921875,33.5602912902832,0.016780149191617966,2.5188300609588623,0.9189274311065674
2,0.0005,0.8967234492301941,0.4550730884075165,600,1637.403564453125,30.143753051757812,0.015071877278387547,2.3789384365081787,0.9227229356765747
3,0.0005,0.8889504075050354,0.45172709226608276,600,2286.1396484375,32.18946838378906,0.016094733029603958,2.311488151550293,0.9089974761009216
4,0.0005,0.8929473161697388,0.4579014182090759,600,1896.3408203125,33.15477752685547,0.01657739095389843,1.8430687189102173,0.9086304306983948
5,0.0005,0.8885126709938049,0.46271589398384094,600,1318.925537109375,28.15411376953125,0.01407705806195736,2.1264400482177734,0.9109067916870117
1,0.0006000000000000001,nan,0.0,420,nan,nan,nan,nan,nan
2,0.0006000000000000001,0.918340265750885,0.45363661646842957,600,756.1930541992188,28.199491500854492,0.01691969484090805,2.236630916595459,0.910405695438385
3,0.0006000000000000001,0.8942034244537354,0.4605603516101837,600,1607.714599609375,28.18836784362793,0.016913020983338356,2.545491933822632,0.9034898281097412
4,0.0006000000000000001,0.8989793062210083,0.4481962323188782,600,2011.9031982421875,39.662384033203125,0.023797430098056793,2.250864267349243,0.9042444229125977
5,0.0006000000000000001,0.8937764763832092,0.46279606223106384,600,1909.9271240234375,29.144067764282227,0.017486440017819405,2.2004761695861816,0.9127306342124939
1,0.0006999999999999999,0.8861156105995178,0.4677615463733673,600,1775.9912109375,31.293807983398438,0.02190566435456276,1.9465875625610352,0.9104597568511963
2,0.0006999999999999999,0.8977961540222168,0.44940808415412903,600,1410.90869140625,30.289453506469727,0.02120261639356613,1.8173556327819824,0.9155979156494141
3,0.0006999999999999999,0.9093090891838074,0.45142650604248047,600,1881.93212890625,30.076305389404297,0.021053414791822433,1.9005824327468872,0.899163007736206
4,0.0006999999999999999,0.9218935966491699,0.4402138590812683,600,2343.455078125,31.755451202392578,0.022228814661502838,2.1008148193359375,0.9056366682052612
5,0.0006999999999999999,0.8994989395141602,0.4610716998577118,600,1770.272216796875,27.22166633605957,0.019055165350437164,2.081199884414673,0.891701877117157
1,0.0008,0.9102234244346619,0.45304134488105774,600,1010.6823120117188,31.191375732421875,0.024953097105026245,2.109410285949707,0.9034090638160706
2,0.0008,0.9120896458625793,0.45800793170928955,600,2209.763671875,33.92827224731445,0.027142614126205444,2.0902180671691895,0.893101155757904
3,0.0008,0.8858232498168945,0.46729451417922974,600,912.3358764648438,28.198200225830078,0.022558558732271194,2.2618257999420166,0.9141831398010254
4,0.0008,0.904060959815979,0.4607565104961395,600,1986.55859375,28.18793296813965,0.022550344467163086,2.4396347999572754,0.9024511575698853
5,0.0008,0.9042192101478577,0.4546409845352173,600,1616.329345703125,24.40447235107422,0.01952357590198517,2.368370532989502,0.9051835536956787
1,0.0009000000000000001,0.9028933048248291,0.4526398181915283,600,1912.9095458984375,25.954200744628906,0.023358779028058052,2.423060894012451,0.930727481842041
2,0.0009000000000000001,0.9185367822647095,0.45010262727737427,600,1537.911865234375,26.411396026611328,0.023770255967974663,1.890136957168579,0.9029260277748108
3,0.0009000000000000001,0.8968246579170227,0.45736953616142273,600,1729.114990234375,27.350181579589844,0.02461516298353672,2.2474923133850098,0.9042742252349854
4,0.0009000000000000001,0.9013099074363708,0.45421287417411804,600,1371.919921875,22.811702728271484,0.02053053118288517,2.0839600563049316,0.8940075635910034
5,0.0009000000000000001,0.9213129878044128,0.4455280303955078,600,1492.670166015625,31.035158157348633,0.027931641787290573,1.952230453491211,0.9178863167762756
1,0.001,0.903394341468811,0.44411394000053406,600,2472.984375,27.305234909057617,0.0273052379488945,2.3092029094696045,0.9170102477073669
2,0.001,0.9262146949768066,0.45361247658729553,600,1550.1209716796875,25.330116271972656,0.025330116972327232,2.296495199203491,0.9056744575500488
3,0.001,0.8960850834846497,0.45231932401657104,600,1114.586669921875,27.250782012939453,0.027250783517956734,2.2660129070281982,0.887843132019043
4,0.001,0.9026381969451904,0.4557279646396637,600,1504.8052978515625,34.95768356323242,0.03495768830180168,1.8454968929290771,0.9080963730812073
5,0.001,0.8988969326019287,0.4602222144603729,600,1870.548828125,30.114063262939453,0.03011406399309635,2.118833303451538,0.9081628918647766
1,0.002,0.9173876643180847,0.4520147740840912,600,1264.768310546875,26.24405288696289,0.05248811095952988,2.1520066261291504,0.8813620209693909
2,0.002,0.9016070365905762,0.45812082290649414,600,1626.1685791015625,24.376583099365234,0.04875316843390465,2.204402208328247,0.9144746661186218
3,0.002,0.9090600609779358,0.45721614360809326,600,2037.484375,24.376972198486328,0.048753947019577026,2.0254316329956055,0.8907026052474976
4,0.002,0.8966425657272339,0.4571366310119629,600,1803.6142578125,22.598281860351562,0.045196570456027985,1.7743353843688965,0.9109803438186646
5,0.002,0.9029054045677185,0.46189185976982117,600,1493.147705078125,26.48415756225586,0.05296831578016281,2.086524248123169,0.900014340877533
1,0.003,0.9129495620727539,0.46233507990837097,600,5361.38916015625,27.22104263305664,0.08166313171386719,1.5334980487823486,0.9072371125221252
2,0.003,0.8937367796897888,0.4595521092414856,600,1857.969482421875,21.529865264892578,0.06458958983421326,2.2618441581726074,0.8877854347229004
3,0.003,0.923501193523407,0.4384672939777374,600,2216.07080078125,26.28725814819336,0.0788617730140686,2.441270589828491,0.8990468382835388
4,0.003,0.893486499786377,0.45304831862449646,600,2006.573486328125,23.420019149780273,0.07026006281375885,2.3204565048217773,0.9131997227668762
5,0.003,0.9045338034629822,0.4668012857437134,600,1786.5347900390625,22.469188690185547,0.06740756332874298,2.0505282878875732,0.9001425504684448
1,0.004,0.8987234234809875,0.450592041015625,600,3142.86865234375,29.123821258544922,0.1164952963590622,1.8035985231399536,0.9165302515029907
2,0.004,0.91392582654953,0.44600996375083923,600,3641.27978515625,28.177221298217773,0.11270888149738312,1.8955401182174683,0.9268254041671753
3,0.004,0.9131606817245483,0.45386505126953125,600,1503.484619140625,26.26923370361328,0.10507694631814957,1.974982500076294,0.9115039706230164
4,0.004,0.8799169063568115,0.4631660580635071,600,1285.35595703125,19.616655349731445,0.07846662402153015,1.9726529121398926,0.8882659673690796
5,0.004,0.9116438031196594,0.4486173093318939,600,2891.21484375,31.041488647460938,0.12416595965623856,1.8882441520690918,0.917801558971405
1,0.005,0.9022984504699707,0.4611639976501465,600,2138.2880859375,21.58705711364746,0.10793527960777283,1.7205686569213867,0.9096686244010925
2,0.005,0.9048324227333069,0.4535987973213196,600,4040.37890625,24.37618637084961,0.12188093364238739,1.9866735935211182,0.92046058177948
3,0.005,0.8997968435287476,0.46086764335632324,600,2770.1865234375,24.363086700439453,0.12181542813777924,1.860451340675354,0.9116325974464417
4,0.005,0.9028472900390625,0.4570763111114502,600,1409.1905517578125,21.522167205810547,0.10761083662509918,2.1572043895721436,0.8918637037277222
5,0.005,0.898714005947113,0.4664989709854126,600,1946.7047119140625,23.442657470703125,0.11721327900886536,1.6940973997116089,0.8937660455703735
1,0.006,0.9061300158500671,0.4578559100627899,600,2642.85546875,27.222780227661133,0.16333666443824768,1.9760537147521973,0.9022029042243958
2,0.006,0.906324565410614,0.4514259696006775,600,5030.1494140625,25.32139015197754,0.15192833542823792,1.5849477052688599,0.9291604161262512
3,0.006,0.9438889026641846,0.4394088685512543,600,2238.118408203125,21.579679489135742,0.1294780671596527,1.6700234413146973,0.941208004951477
4,0.006,0.9013671278953552,0.4567275941371918,600,2528.39501953125,23.479806900024414,0.1408788412809372,1.7060893774032593,0.9019469022750854
5,0.006,0.9173586964607239,0.4404228925704956,600,1967.0736083984375,22.462141036987305,0.13477285206317902,2.0805749893188477,0.9132989645004272
1,0.006999999999999999,0.8962149620056152,0.4560236632823944,600,2528.839599609375,22.497255325317383,0.15748080611228943,1.6381771564483643,0.918476402759552
2,0.006999999999999999,0.909353494644165,0.44631150364875793,600,1508.35595703125,20.592395782470703,0.14414677023887634,1.9752593040466309,0.9057410955429077
3,0.006999999999999999,0.9054949879646301,0.45006585121154785,600,1648.41259765625,20.569049835205078,0.14398333430290222,1.707086443901062,0.8984698057174683
4,0.006999999999999999,nan,0.0,385,nan,nan,nan,nan,nan
5,0.006999999999999999,0.9046037197113037,0.45335009694099426,600,2259.62255859375,23.453197479248047,0.16417238116264343,2.0162465572357178,0.9105977416038513
1,0.008,0.9089954495429993,0.45043379068374634,600,2603.685546875,21.521697998046875,0.17217358946800232,1.8764212131500244,0.9200483560562134
2,0.008,0.9055343270301819,0.45409128069877625,600,1995.3125,24.370708465576172,0.1949656754732132,1.919464111328125,0.8986565470695496
3,0.008,0.8956136107444763,0.45768195390701294,600,1886.59716796875,22.496578216552734,0.17997261881828308,2.011302947998047,0.8916358351707458
4,0.008,0.9056823253631592,0.4496132731437683,600,1983.2552490234375,24.37941551208496,0.19503532350063324,1.7297906875610352,0.9098367691040039
5,0.008,nan,0.0,480,nan,nan,nan,nan,nan
1,0.009000000000000001,0.923136830329895,0.45851585268974304,600,2236.080078125,20.576122283935547,0.18518508970737457,1.7375884056091309,0.9167261123657227
2,0.009000000000000001,0.907956600189209,0.45940467715263367,600,2381.1611328125,21.513687133789062,0.19362318515777588,1.6325360536575317,0.9196165800094604
3,0.009000000000000001,0.8966162204742432,0.4642553925514221,600,2646.15771484375,22.418323516845703,0.20176488161087036,1.7129696607589722,0.9185309410095215
4,0.009000000000000001,0.9127660393714905,0.45951080322265625,600,13559.166015625,23.422821044921875,0.21080538630485535,1.8097777366638184,0.9111472368240356
