num,lam,loss,percent correct,epoch,l2,l0,re loss,loss lang 1,loss lang 2,emp best lang 1,emp best lang 2,best lang 1,best lang 2,empirical crossent 1,empirical crossent 2
1,0.2511886293612277,4.865015983581543,0.0,2,0.0,12.960698127746582,3.255579710006714,1.609435796737671,1.609436273574829,1.086795687675476,1.0705158710479736,1.0807545185089111,1.0710934400558472,1.4468871355056763,1.575719952583313
2,0.2511886293612277,4.865015506744385,0.0,2,0.0,12.960698127746582,3.255579710006714,1.6094355583190918,1.6094363927841187,1.086322546005249,1.080683708190918,1.0832133293151855,1.0812352895736694,1.4438259601593018,1.5640413761138916
3,0.2511886293612277,4.865015983581543,0.0,2,0.0,12.960698127746582,3.255579710006714,1.6094355583190918,1.6094361543655396,1.0833148956298828,1.0801137685775757,1.0793633460998535,1.0808978080749512,1.4538085460662842,1.5342586040496826
4,0.2511886293612277,4.865015506744385,0.0,2,0.0,12.960698127746582,3.255579710006714,1.60943603515625,1.6094367504119873,1.0938034057617188,1.0868042707443237,1.0912246704101562,1.08677077293396,1.4497699737548828,1.541764736175537
5,0.2511886293612277,4.865015983581543,0.0,2,0.0,12.960698127746582,3.255579710006714,1.6094366312026978,1.6094363927841187,1.0755529403686523,1.0923272371292114,1.0708714723587036,1.0921201705932617,1.4275041818618774,1.5621790885925293
1,0.1,2.8156352043151855,0.42826923727989197,22,130.5599365234375,16.75701141357422,1.6757010221481323,1.2568241357803345,1.242127776145935,1.0847301483154297,1.0639387369155884,1.080060601234436,1.0656449794769287,1.4754021167755127,1.5435360670089722
2,0.1,2.844400405883789,0.4057058095932007,3,14.698745727539062,15.805987358093262,1.5805987119674683,1.3363752365112305,1.3342392444610596,1.0815236568450928,1.0803121328353882,1.076582670211792,1.0804543495178223,1.4479701519012451,1.5563700199127197
3,0.1,2.7205028533935547,0.41174715757369995,7,7.629429340362549,14.862395286560059,1.4862394332885742,1.368168592453003,1.3586457967758179,1.0802710056304932,1.082338809967041,1.0765913724899292,1.082641363143921,1.4582997560501099,1.5506141185760498
4,0.1,2.703352928161621,0.42507344484329224,44,7.851372718811035,14.862380027770996,1.48623788356781,1.3768476247787476,1.3611409664154053,1.088546872138977,1.076106071472168,1.0852769613265991,1.076470971107483,1.4555772542953491,1.5381871461868286
5,0.1,2.8899478912353516,0.41938671469688416,2,42.80318069458008,15.714645385742188,1.5714645385742188,1.3542855978012085,1.3539862632751465,1.0811222791671753,1.0825676918029785,1.076201319694519,1.0828380584716797,1.4803872108459473,1.5824240446090698
1,0.039810719240874815,1.8006508350372314,0.4299653172492981,38,221.19845581054688,16.76331329345703,0.6673595905303955,1.245423674583435,1.2631771564483643,1.0734878778457642,1.0784114599227905,1.067751169204712,1.078848123550415,1.4513531923294067,1.55716073513031
2,0.039810719240874815,1.7691714763641357,0.41921043395996094,81,480.64892578125,15.8096284866333,0.629392683506012,1.2688031196594238,1.261072039604187,1.08437180519104,1.080212116241455,1.081364631652832,1.0803632736206055,1.4745913743972778,1.5504224300384521
3,0.039810719240874815,1.7957768440246582,0.44163742661476135,27,152.12255859375,16.763874053955078,0.6673819422721863,1.2647303342819214,1.2558867931365967,1.0815318822860718,1.076226830482483,1.076380968093872,1.0768485069274902,1.4825724363327026,1.5618363618850708
4,0.039810719240874815,1.8884767293930054,0.4169132113456726,79,879.734130859375,18.665048599243164,0.743069052696228,1.2204228639602661,1.1978604793548584,1.0941298007965088,1.070695400238037,1.0922695398330688,1.0717953443527222,1.483868956565857,1.5487818717956543
5,0.039810719240874815,1.7723915576934814,0.4194682538509369,20,66.7228775024414,15.813163757324219,0.6295334100723267,1.2662861347198486,1.246094822883606,1.084259271621704,1.080043911933899,1.0793076753616333,1.0805838108062744,1.4476559162139893,1.571160912513733
1,0.0158489336647576,1.4113376140594482,0.42148423194885254,66,789.93896484375,21.517667770385742,0.34103208780288696,1.1589425802230835,1.2825690507888794,1.0926384925842285,1.0768944025039673,1.0891481637954712,1.0780643224716187,1.4973022937774658,1.582148790359497
2,0.0158489336647576,1.3952816724777222,0.4209051728248596,20,223.1259307861328,20.567392349243164,0.32597124576568604,1.1356946229934692,1.2527443170547485,1.0811196565628052,1.0685269832611084,1.0754830837249756,1.069676399230957,1.4310216903686523,1.5651384592056274
3,0.0158489336647576,1.3861114978790283,0.42833492159843445,203,534.5228881835938,16.76392936706543,0.2656903862953186,1.217785358428955,1.2032512426376343,1.075707197189331,1.080995798110962,1.0705918073654175,1.0807075500488281,1.4649944305419922,1.5993114709854126
4,0.0158489336647576,1.4755628108978271,0.39975598454475403,77,743.9122924804688,17.71480941772461,0.28076082468032837,1.1970986127853394,1.1981924772262573,1.0759787559509277,1.0728323459625244,1.0715901851654053,1.0737718343734741,1.4038537740707397,1.5477126836776733
5,0.0158489336647576,1.439392328262329,0.41007015109062195,114,1341.2076416015625,17.714513778686523,0.2807561159133911,1.184544324874878,1.2001086473464966,1.0730791091918945,1.0730228424072266,1.0694328546524048,1.0739631652832031,1.4596142768859863,1.5626765489578247
1,0.006309572752037223,1.211369276046753,0.41357871890068054,30,307.06396484375,22.468786239624023,0.1417684406042099,1.117834210395813,1.3196450471878052,1.082457423210144,1.0839287042617798,1.0781993865966797,1.0843031406402588,1.4522557258605957,1.5321369171142578
2,0.006309572752037223,1.2186630964279175,0.3951106667518616,107,1566.1788330078125,20.553483963012695,0.1296837031841278,1.1100523471832275,1.3126821517944336,1.070582389831543,1.0827105045318604,1.0650835037231445,1.0833388566970825,1.446448564529419,1.5169291496276855
