model_num,lambda,loss,accuracy,epoch,l2,l0,re loss,test loss
1,6.309576215861531e-07,0.0015006285393610597,1.0,5,503.1608581542969,255.7576446533203,0.00016137224156409502,0.0014895882923156023
1,6.309576215861531e-07,0.0006883938913233578,1.0,10,726.0416870117188,252.29562377929688,0.00015918783901724964,0.000701834331266582
1,6.309576215861531e-07,0.00030733959283679724,1.0,15,843.9410400390625,250.97488403320312,0.00015835452359169722,0.000308927264995873
1,6.309576215861531e-07,0.0001741786254569888,1.0,20,967.2062377929688,248.78564453125,0.00015697319759055972,0.00017505124560557306
1,6.309576215861531e-07,8.377945778192952e-05,1.0,25,1067.4849853515625,248.08221435546875,0.00015652936417609453,8.184745092876256e-05
1,6.309576215861531e-07,7.624235149705783e-05,1.0,30,1178.4259033203125,244.4445343017578,0.00015423413424286991,7.757496496196836e-05
1,6.309576215861531e-07,8.424814586760476e-05,1.0,35,1289.625244140625,242.23428344726562,0.0001528395659988746,8.480295946355909e-05
1,6.309576215861531e-07,9.080262680072337e-05,1.0,40,1584.10986328125,239.4131317138672,0.00015105956117622554,8.455629722448066e-05
1,6.309576215861531e-07,0.0001096517444238998,1.0,45,1624.1722412109375,238.7587890625,0.00015064666513353586,0.00010777109855553135
1,6.309576215861531e-07,0.0002944906009361148,1.0,50,1698.598876953125,237.33265686035156,0.0001497468474553898,0.000230074641876854
1,6.309576215861531e-07,2.6588333639665507e-05,1.0,55,1793.357421875,232.0667266845703,0.0001464242668589577,2.7247151592746377e-05
1,6.309576215861531e-07,3.076661960221827e-05,1.0,60,1887.93505859375,225.99362182617188,0.000142592383781448,3.0735489417565987e-05
1,6.309576215861531e-07,3.5398024920141324e-05,1.0,65,2018.4853515625,220.41690063476562,0.00013907371612731367,3.4301236155442894e-05
1,6.309576215861531e-07,9.52013797359541e-05,1.0,70,2118.06494140625,218.21546936035156,0.00013768472126685083,9.472528472542763e-05
1,6.309576215861531e-07,9.818054240895435e-05,1.0,75,2183.474365234375,215.110107421875,0.00013572534953709692,9.408511687070131e-05
