num,lam,loss,percent correct,epoch,l2,l0,re loss,loss lang 1,loss lang 2,best lang 1,best lang 2
1,0.2511886293612277,4.865015983581543,0.0,2,0.0,12.960698127746582,3.255579710006714,1.6094359159469604,1.6094366312026978,1.0761563777923584,1.072182059288025
2,0.2511886293612277,4.865016460418701,0.0,2,0.0,12.960698127746582,3.255579710006714,1.609436273574829,1.6094356775283813,1.077457070350647,1.0705294609069824
3,0.2511886293612277,4.865016460418701,0.0,2,0.0,12.960698127746582,3.255579710006714,1.6094361543655396,1.60943603515625,1.0807315111160278,1.0756009817123413
4,0.2511886293612277,4.865016460418701,0.0,2,0.0,12.960698127746582,3.255579710006714,1.6094365119934082,1.6094359159469604,1.077694296836853,1.0778847932815552
5,0.2511886293612277,4.865015506744385,0.0,2,0.0,12.960698127746582,3.255579710006714,1.609435796737671,1.6094356775283813,1.0901720523834229,1.0846951007843018
1,0.1,2.797942638397217,0.4232882559299469,3,49.45484924316406,16.737546920776367,1.6737546920776367,1.2548719644546509,1.2572356462478638,1.0663851499557495,1.0906591415405273
2,0.1,2.7707014083862305,0.3894067704677582,26,6.78106164932251,14.862388610839844,1.4862388372421265,1.3512006998062134,1.332153558731079,1.0782979726791382,1.064183235168457
3,0.1,2.7063748836517334,0.40212294459342957,88,15.83810043334961,15.297390937805176,1.5297390222549438,1.266533613204956,1.2656155824661255,1.075505018234253,1.0795365571975708
4,0.1,2.704650640487671,0.42460665106773376,36,7.4854326248168945,14.862265586853027,1.4862264394760132,1.3689593076705933,1.354862928390503,1.073033332824707,1.07929527759552
5,0.1,2.789370059967041,0.40809887647628784,104,615.0558471679688,16.287195205688477,1.628719449043274,1.2853143215179443,1.2740662097930908,1.082381010055542,1.0730599164962769
1,0.039810719240874815,1.7691013813018799,0.418305903673172,37,118.89425659179688,15.813118934631348,0.6295316219329834,1.2607916593551636,1.2634930610656738,1.074613094329834,1.0810611248016357
2,0.039810719240874815,1.826263666152954,0.42456522583961487,126,1453.330078125,17.712568283081055,0.7051500082015991,1.1952440738677979,1.2144951820373535,1.0661653280258179,1.0776190757751465
3,0.039810719240874815,1.827289342880249,0.4216494858264923,48,387.4920654296875,16.67847442626953,0.6639820337295532,1.274489164352417,1.260905385017395,1.0798543691635132,1.073873519897461
4,0.039810719240874815,1.832273244857788,0.40802401304244995,31,104.78485870361328,16.763935089111328,0.6673842668533325,1.2099634408950806,1.204217791557312,1.0738389492034912,1.0730010271072388
5,0.039810719240874815,1.7922526597976685,0.4193396270275116,118,680.3753051757812,15.80783748626709,0.6293213367462158,1.267654299736023,1.2438268661499023,1.0911380052566528,1.0690010786056519
1,0.0158489336647576,1.3873106241226196,0.4228961765766144,34,255.32257080078125,17.71478271484375,0.28076040744781494,1.2196934223175049,1.2085745334625244,1.0770938396453857,1.078778624534607
2,0.0158489336647576,1.4226417541503906,0.41630488634109497,27,181.94338989257812,18.66555404663086,0.2958291172981262,1.2276192903518677,1.2247207164764404,1.0875273942947388,1.0755192041397095
3,0.0158489336647576,1.3837300539016724,0.4032362699508667,26,337.0334167480469,19.622478485107422,0.31099534034729004,1.1384235620498657,1.2648520469665527,1.0747133493423462,1.0682505369186401
4,0.0158489336647576,1.3858847618103027,0.42765769362449646,103,776.1533813476562,16.763975143432617,0.2656911015510559,1.212964415550232,1.1992806196212769,1.0679303407669067,1.0758050680160522
5,0.0158489336647576,1.4122962951660156,0.40844491124153137,21,164.83358764648438,17.714641571044922,0.2807581424713135,1.1919444799423218,1.191662073135376,1.0695602893829346,1.066474437713623
1,0.006309572752037223,1.2218310832977295,0.42428818345069885,77,870.1975708007812,26.363710403442383,0.16634374856948853,1.1200720071792603,1.3058322668075562,1.0694103240966797,1.073203444480896
2,0.006309572752037223,1.1918466091156006,0.4173174202442169,98,1021.1590576171875,21.525432586669922,0.1358162760734558,1.118701696395874,1.3401597738265991,1.0748540163040161,1.0816131830215454
3,0.006309572752037223,1.219704508781433,0.40691885352134705,104,1304.55712890625,22.470617294311523,0.14177998900413513,1.10110604763031,1.2920976877212524,1.0636478662490845,1.0797040462493896
4,0.006309572752037223,1.186017394065857,0.4226129353046417,44,519.255859375,22.466655731201172,0.14175498485565186,1.1090683937072754,1.3266688585281372,1.0690258741378784,1.0739079713821411
5,0.006309572752037223,1.23472261428833,0.4031347930431366,59,754.7769775390625,20.568763732910156,0.129780113697052,1.1112520694732666,1.339066505432129,1.0669304132461548,1.082159161567688
1,0.0025118869830988676,1.135595440864563,0.4191157817840576,135,1812.0101318359375,30.075927734375,0.07554732263088226,1.103874921798706,1.4352812767028809,1.0743787288665771,1.0784049034118652
2,0.0025118869830988676,1.1123895645141602,0.42715996503829956,95,729.6425170898438,28.20231056213379,0.07084101438522339,1.1129984855651855,1.4698704481124878,1.0853853225708008,1.0723155736923218
3,0.0025118869830988676,1.1150765419006348,0.4037211537361145,139,1452.935546875,29.174964904785156,0.07328420877456665,1.099684715270996,1.4530349969863892,1.0729305744171143,1.0801043510437012
4,0.0025118869830988676,1.142938256263733,0.42594510316848755,98,1785.5006103515625,31.03053855895996,0.07794520258903503,1.0919363498687744,1.4520010948181152,1.0684475898742676,1.0801951885223389
5,0.0025118869830988676,1.161554217338562,0.41670992970466614,75,1078.240234375,29.28965187072754,0.07357229292392731,1.1166279315948486,1.3470708131790161,1.0666533708572388,1.0754473209381104
1,0.001,1.0460624694824219,0.4242924451828003,105,4245.6962890625,36.78169631958008,0.03678169846534729,1.2276978492736816,1.3656662702560425,1.0688802003860474,1.0681766271591187
