r,accuracy,target
"[2.674936532974243, 0.6057742834091187, 0.5]"
"[2.2150168418884277, 0.5097550749778748, 0.5]"
"[2.17338228225708, 0.5009106993675232, 0.5]"
"[2.2127013206481934, 0.5353817343711853, 0.5]"
"[2.2859411239624023, 0.505179762840271, 0.5]"
"[2.397522211074829, 0.5017650127410889, 0.5]"
"[1.9327375888824463, 0.5157838463783264, 0.5]"
"[2.0444040298461914, 0.5045592784881592, 0.5]"
"[1.9262902736663818, 0.5020870566368103, 0.5]"
"[1.6658196449279785, 0.7678126692771912, 0.5]"
"[2.0900521278381348, 0.5557680130004883, 0.5]"
"[1.735420823097229, 0.5030863881111145, 0.5]"
"[2.6553685665130615, 0.5042235255241394, 0.5]"
"[2.02772855758667, 0.6004015803337097, 0.5]"
"[2.673159599304199, 0.6666666269302368, 0.5]"
"[2.3353171348571777, 0.502328634262085, 0.5]"
"[2.077104091644287, 0.5083333849906921, 0.5]"
"[2.122769355773926, 0.527999997138977, 0.5]"
"[2.058640480041504, 0.5291529297828674, 0.5]"
"[2.102522373199463, 0.5593093037605286, 0.5]"
"[2.0003018379211426, 0.5977351069450378, 0.5]"
"[3.577392816543579, 0.5527821183204651, 0.5]"
"[2.0059990882873535, 0.5143715143203735, 0.5]"
"[2.2574970722198486, 0.5132641196250916, 0.5]"
"[2.111389398574829, 0.5029333233833313, 0.5]"
"[2.191524028778076, 0.551369845867157, 0.5]"
"[2.200598955154419, 0.6323839426040649, 0.5]"
"[2.661126136779785, 0.5409631133079529, 0.5]"
"[2.1137654781341553, 0.5159883499145508, 0.5]"
"[2.0214500427246094, 0.5417330861091614, 0.5]"
"[2.354487419128418, 0.5875555872917175, 0.5]"
"[2.4758095741271973, 0.6465378403663635, 0.5]"
"[2.1776123046875, 0.5163007378578186, 0.5]"
"[1.9251209497451782, 0.5073696374893188, 0.5]"
"[2.136955976486206, 0.653727650642395, 0.5]"
"[1.9878959655761719, 0.5117080211639404, 0.5]"
"[2.090705394744873, 0.5241228342056274, 0.5]"
"[2.0856003761291504, 0.5119780898094177, 0.5]"
"[2.072340726852417, 0.5058479309082031, 0.5]"
"[1.5325363874435425, 0.7261172533035278, 0.5]"
"[1.9109078645706177, 0.5002791285514832, 0.5]"
"[2.138467311859131, 0.5023212432861328, 0.5]"
"[2.571911334991455, 0.5594817399978638, 0.5]"
"[2.5487728118896484, 0.5371947884559631, 0.5]"
"[2.148106813430786, 0.5045371651649475, 0.5]"
"[2.292630434036255, 0.5006666779518127, 0.5]"
"[1.694901466369629, 0.6159543991088867, 0.5]"
"[1.9263235330581665, 0.6666666865348816, 0.5]"
"[1.9808906316757202, 0.500537633895874, 0.5]"
"[2.1634793281555176, 0.5036910772323608, 0.5]"
"[2.067854642868042, 0.5099132657051086, 0.5]"
"[2.196781635284424, 0.5070486664772034, 0.5]"
"[1.993393063545227, 0.7455751895904541, 0.5]"
"[2.5584142208099365, 0.5012820959091187, 0.5]"
"[2.2163891792297363, 0.5018144249916077, 0.5]"
"[2.030191421508789, 0.5013375878334045, 0.5]"
"[2.0267081260681152, 0.5557575821876526, 0.5]"
"[2.0734939575195312, 0.5166066288948059, 0.5]"
"[2.453223943710327, 0.5051194429397583, 0.5]"
"[1.8345439434051514, 0.7597672939300537, 0.5]"
"[2.0873138904571533, 0.6410256624221802, 0.5]"
"[1.5329558849334717, 0.7902494668960571, 0.5]"
