r,accuracy,target
"[2.0544517040252686, 0.5011112689971924, 0.5]"
"[2.1334176063537598, 0.5001839995384216, 0.5]"
"[2.07240629196167, 0.5009132027626038, 0.5]"
"[2.1967062950134277, 0.5018134713172913, 0.5]"
"[2.0956945419311523, 0.5002472400665283, 0.5]"
"[3.3172218799591064, 0.6596446633338928, 0.5]"
"[2.054325580596924, 0.6636517643928528, 0.5]"
"[2.3245840072631836, 0.5001795887947083, 0.5]"
"[2.926957130432129, 0.5001847743988037, 0.5]"
"[1.9282186031341553, 0.6681470274925232, 0.5]"
"[2.106424331665039, 0.662716269493103, 0.5]"
"[1.205727219581604, 0.8320195078849792, 0.5]"
"[1.830291986465454, 0.6681547164916992, 0.5]"
"[2.119297981262207, 0.5039519667625427, 0.5]"
"[2.003514051437378, 0.5024083852767944, 0.5]"
"[2.0189008712768555, 0.6564719080924988, 0.5]"
"[2.1204605102539062, 0.5044547319412231, 0.5]"
"[2.160344362258911, 0.509968638420105, 0.5]"
"[2.5761923789978027, 0.5004465579986572, 0.5]"
"[1.986253023147583, 0.6679614782333374, 0.5]"
"[2.321336030960083, 0.659493625164032, 0.5]"
"[1.8984932899475098, 0.6638806462287903, 0.5]"
"[2.2666330337524414, 0.6659818887710571, 0.5]"
"[1.6213600635528564, 0.832303524017334, 0.5]"
"[2.287759304046631, 0.5007867813110352, 0.5]"
"[2.9881837368011475, 0.5001614093780518, 0.5]"
"[2.0469179153442383, 0.5001833438873291, 0.5]"
"[1.9625165462493896, 0.659497082233429, 0.5]"
"[2.1250221729278564, 0.5001386404037476, 0.5]"
"[2.1003215312957764, 0.5088057518005371, 0.5]"
"[2.5698492527008057, 0.665184497833252, 0.5]"
"[1.8152183294296265, 0.500834584236145, 0.5]"
"[2.095294952392578, 0.6647775173187256, 0.5]"
"[2.1660327911376953, 0.5007762908935547, 0.5]"
"[2.04758882522583, 0.6442791819572449, 0.5]"
"[1.6167105436325073, 0.6620728373527527, 0.5]"
"[2.8406074047088623, 0.5001610517501831, 0.5]"
"[2.0090785026550293, 0.6162375807762146, 0.5]"
"[1.4608194828033447, 0.6701075434684753, 0.5]"
"[1.9977167844772339, 0.5009893774986267, 0.5]"
"[1.9237310886383057, 0.5001713037490845, 0.5]"
"[2.119755983352661, 0.5004114508628845, 0.5]"
"[2.00516414642334, 0.5002229809761047, 0.5]"
"[1.8834062814712524, 0.6636132001876831, 0.5]"
"[2.101414442062378, 0.663148045539856, 0.5]"
"[1.6179351806640625, 0.6655020713806152, 0.5]"
"[1.8535298109054565, 0.6658980250358582, 0.5]"
"[1.860592007637024, 0.8309104442596436, 0.5]"
"[1.863875389099121, 0.5030109882354736, 0.5]"
"[1.885990023612976, 0.5001883506774902, 0.5]"
