r,accuracy
"[0.48356863856315613, 0.9614631533622742]"
"[0.7134219408035278, 0.9605849385261536]"
"[0.6337920427322388, 0.9607169032096863]"
"[0.7268283367156982, 0.9616005420684814]"
"[0.6975798606872559, 0.9594899415969849]"
"[0.6333842277526855, 0.9631686210632324]"
"[0.6200219392776489, 0.9605956673622131]"
"[0.5366569757461548, 0.9582555890083313]"
"[0.7271895408630371, 0.9619601964950562]"
"[0.5713968873023987, 0.9623656272888184]"
"[0.5593599081039429, 0.9593753218650818]"
"[0.5574044585227966, 0.9622564315795898]"
"[0.7422770857810974, 0.9651198983192444]"
"[0.530166506767273, 0.9634915590286255]"
"[0.6082645654678345, 0.961534321308136]"
"[0.5192714929580688, 0.9612352848052979]"
"[0.6157839298248291, 0.9616510272026062]"
"[0.9579423069953918, 0.9619994163513184]"
"[0.6426995396614075, 0.9615384936332703]"
"[0.7894405126571655, 0.9608384966850281]"
"[0.8565717935562134, 0.9610666632652283]"
"[0.501811146736145, 0.9620423913002014]"
"[0.6597751379013062, 0.9621676802635193]"
"[0.5496951937675476, 0.9611128568649292]"
"[0.4326658248901367, 0.9637057781219482]"
"[0.5709141492843628, 0.9623481035232544]"
"[0.6469010710716248, 0.9590499997138977]"
"[0.6433672904968262, 0.959686279296875]"
"[0.8077665567398071, 0.9616689085960388]"
"[0.5376079678535461, 0.9637396335601807]"
"[0.5491964817047119, 0.9631620645523071]"
"[0.6003710031509399, 0.9626577496528625]"
"[0.7654361128807068, 0.9611237645149231]"
"[0.5805994272232056, 0.9611590504646301]"
"[0.618254542350769, 0.9594175219535828]"
"[0.5374031662940979, 0.9628188014030457]"
"[0.47858911752700806, 0.964532196521759]"
"[0.7237734198570251, 0.9633126854896545]"
"[0.6550309658050537, 0.9610834121704102]"
"[0.5916554927825928, 0.9566262364387512]"
"[0.7986100316047668, 0.9612690210342407]"
"[0.6535422801971436, 0.9627352952957153]"
"[0.5607326030731201, 0.9618727564811707]"
"[0.5843274593353271, 0.9594537019729614]"
"[0.7019087076187134, 0.9627025723457336]"
"[0.5810047388076782, 0.9613745808601379]"
"[0.5454508066177368, 0.9625028371810913]"
"[0.6875021457672119, 0.9622620940208435]"
"[0.6625704765319824, 0.9591077566146851]"
"[0.4481474459171295, 0.9632250070571899]"
"[0.6490026712417603, 0.9628273844718933]"
"[0.7387978434562683, 0.957409679889679]"
"[0.5803384780883789, 0.962748110294342]"
"[0.5327858328819275, 0.9609975814819336]"
"[0.7508220672607422, 0.962408185005188]"
"[0.441552996635437, 0.9627718925476074]"
"[0.6381298303604126, 0.962103009223938]"
"[0.5649866461753845, 0.9596738219261169]"
"[0.7323265075683594, 0.9631112217903137]"
"[0.5817894339561462, 0.9656834602355957]"
"[0.581544041633606, 0.9626769423484802]"
"[0.5443648099899292, 0.9622222185134888]"
"[0.5730807185173035, 0.9632810950279236]"
"[0.5480278730392456, 0.9628053903579712]"
"[0.4433385133743286, 0.9620758295059204]"
"[0.6392331123352051, 0.9601382613182068]"
"[0.588958740234375, 0.960753321647644]"
"[0.5971957445144653, 0.9561308026313782]"
"[0.6975125074386597, 0.9612128138542175]"
"[0.8927879333496094, 0.9602407217025757]"
"[0.7384878396987915, 0.9649965167045593]"
"[0.570123016834259, 0.9602858424186707]"
"[0.6973156332969666, 0.9600963592529297]"
"[0.6244391798973083, 0.9621261358261108]"
"[0.6787967681884766, 0.9612203240394592]"
"[0.8025879859924316, 0.9632117748260498]"
"[0.5111832022666931, 0.9633593559265137]"
"[0.7891255021095276, 0.9607843160629272]"
"[0.6299596428871155, 0.9604352116584778]"
"[0.48967617750167847, 0.9624302983283997]"
"[0.6735132932662964, 0.9638218879699707]"
"[0.534069299697876, 0.9608471393585205]"
"[0.581135630607605, 0.9625892043113708]"
"[0.7597739696502686, 0.960561215877533]"
"[0.5588394403457642, 0.960827112197876]"
"[0.46047380566596985, 0.9610788822174072]"
"[0.8908730745315552, 0.962405264377594]"
"[0.6307034492492676, 0.9616457223892212]"
"[0.6596803665161133, 0.9612717032432556]"
"[0.47989219427108765, 0.9619935750961304]"
"[0.5849652886390686, 0.9600609540939331]"
"[0.65150386095047, 0.9602070450782776]"
"[0.5412013530731201, 0.9585778117179871]"
"[0.5854783654212952, 0.9591204524040222]"
"[0.5602284669876099, 0.9599249362945557]"
"[0.5909427404403687, 0.9583091735839844]"
"[0.5277048349380493, 0.9586470127105713]"
"[0.46185219287872314, 0.9619377255439758]"
"[0.607860267162323, 0.9603480696678162]"
"[0.5333584547042847, 0.9626584053039551]"
"[0.5922317504882812, 0.9627636075019836]"
"[0.5611464977264404, 0.9607499837875366]"
"[0.8397380113601685, 0.9590606093406677]"
"[0.6370882987976074, 0.9606598615646362]"
"[0.4558021128177643, 0.9609079360961914]"
"[0.6031368970870972, 0.960902988910675]"
"[0.6114616394042969, 0.9616561532020569]"
"[0.5941937565803528, 0.9607135057449341]"
"[0.5485783815383911, 0.9634619355201721]"
"[0.7551698088645935, 0.9584715962409973]"
"[0.5966994762420654, 0.9606435298919678]"
"[0.8356261849403381, 0.9613920450210571]"
"[0.4764087498188019, 0.9623931646347046]"
"[0.5582647919654846, 0.9592569470405579]"
"[0.594506561756134, 0.9622024297714233]"
"[0.5811130404472351, 0.9637131094932556]"
"[0.5210606455802917, 0.9606124758720398]"
"[0.7800867557525635, 0.9613133668899536]"
"[0.6565800905227661, 0.9611452221870422]"
"[0.49782025814056396, 0.9628568291664124]"
"[0.534100353717804, 0.9620497226715088]"
"[0.6528379917144775, 0.9614630937576294]"
"[0.7006629705429077, 0.9616610407829285]"
"[0.7777053117752075, 0.9625303149223328]"
"[0.7570399641990662, 0.9636624455451965]"
"[0.5014346837997437, 0.964617133140564]"
"[0.6719156503677368, 0.9622015357017517]"
"[0.5525985360145569, 0.962663471698761]"
"[0.5583468079566956, 0.9638407826423645]"
"[0.7422388195991516, 0.9592866897583008]"
"[0.9149237871170044, 0.9625881314277649]"
"[0.5568753480911255, 0.9604930281639099]"
"[0.5123914480209351, 0.9656625390052795]"
"[0.48615244030952454, 0.9612483978271484]"
"[0.7247183322906494, 0.9628350138664246]"
"[0.6838847398757935, 0.9615698456764221]"
"[0.637347936630249, 0.9645553231239319]"
"[0.7230768203735352, 0.9628843069076538]"
"[0.7455510497093201, 0.962090015411377]"
"[0.521966814994812, 0.9589281678199768]"
"[0.8130402565002441, 0.9611355662345886]"
"[0.5532306432723999, 0.9616039395332336]"
"[0.8027000427246094, 0.963599443435669]"
"[0.7418594360351562, 0.9580751657485962]"
"[0.5172550082206726, 0.9623226523399353]"
"[0.5217083096504211, 0.9625797271728516]"
"[0.6837810277938843, 0.9604969620704651]"
"[0.5661442279815674, 0.9622998237609863]"
"[0.699365496635437, 0.9632970690727234]"
"[0.4441279470920563, 0.9623266458511353]"
"[0.6680899262428284, 0.9621526598930359]"
"[0.6866301894187927, 0.9637775421142578]"
"[0.639312744140625, 0.9603222012519836]"
"[0.5336093902587891, 0.9638373851776123]"
"[0.5553761124610901, 0.9604015350341797]"
"[0.5617212057113647, 0.9646210074424744]"
"[0.44786468148231506, 0.9619836211204529]"
"[0.6821604371070862, 0.9616842865943909]"
"[0.6070156097412109, 0.9621523022651672]"
"[0.5939086675643921, 0.964343786239624]"
"[0.7290947437286377, 0.9609971046447754]"
"[0.48001134395599365, 0.9609366655349731]"
"[0.6171730756759644, 0.9634044766426086]"
"[0.813801646232605, 0.9605148434638977]"
"[0.7712064385414124, 0.9627240300178528]"
"[0.5245332717895508, 0.9606332778930664]"
"[0.6139771938323975, 0.960839033126831]"
"[0.5478326082229614, 0.963935136795044]"
"[0.593220055103302, 0.9593141674995422]"
"[0.7743207216262817, 0.9604501724243164]"
"[0.5353692770004272, 0.9582421779632568]"
"[0.6947324872016907, 0.9633238911628723]"
"[0.45800483226776123, 0.9626303315162659]"
"[0.5388829708099365, 0.9595283269882202]"
"[0.5241435170173645, 0.9623212814331055]"
"[0.48604461550712585, 0.9627125859260559]"
"[0.6435685157775879, 0.9624661803245544]"
"[0.7389209270477295, 0.9602203369140625]"
"[0.5507895946502686, 0.9619436860084534]"
"[0.8136090636253357, 0.9609418511390686]"
"[0.733372688293457, 0.9618320465087891]"
"[0.5892983078956604, 0.9613476395606995]"
"[0.499398410320282, 0.9621058702468872]"
"[0.503178596496582, 0.9625555872917175]"
"[0.48912835121154785, 0.9612690210342407]"
"[0.7279093861579895, 0.9600471258163452]"
"[0.628247857093811, 0.9623209238052368]"
"[0.6604572534561157, 0.963154137134552]"
"[0.6364490389823914, 0.9597094058990479]"
"[0.5072256922721863, 0.9595215916633606]"
"[0.884976327419281, 0.9638961553573608]"
"[0.6049816608428955, 0.9594915509223938]"
"[0.6021193265914917, 0.9630119204521179]"
"[0.7439993619918823, 0.9590064883232117]"
"[0.8518920540809631, 0.9629303216934204]"
"[0.8474593162536621, 0.9597488641738892]"
"[0.7763550281524658, 0.9648522734642029]"
"[0.5468631386756897, 0.9624003767967224]"
"[0.635033130645752, 0.962434709072113]"
"[0.46201175451278687, 0.962999701499939]"
"[0.5725572109222412, 0.9615927338600159]"
"[0.6495233774185181, 0.9631444811820984]"
"[0.6169097423553467, 0.9609637260437012]"
"[0.5417728424072266, 0.9648885726928711]"
"[0.6890092492103577, 0.9617396593093872]"
"[0.5530022978782654, 0.9624542593955994]"
"[0.692135214805603, 0.9628594517707825]"
"[0.5796574354171753, 0.9613633751869202]"
"[0.9430539608001709, 0.9570425152778625]"
"[0.5969187617301941, 0.9619670510292053]"
"[0.6987330317497253, 0.9637591242790222]"
"[0.5188018083572388, 0.9619656205177307]"
"[0.7416753768920898, 0.96332186460495]"
"[0.6703741550445557, 0.9628549814224243]"
"[0.5134900808334351, 0.9602300524711609]"
"[0.678432822227478, 0.9612699747085571]"
"[0.6373013854026794, 0.9616869688034058]"
"[0.719835102558136, 0.9604104161262512]"
"[0.6726016402244568, 0.9596657156944275]"
"[0.65117347240448, 0.9633752107620239]"
"[0.4556620121002197, 0.9637426733970642]"
"[0.5642377138137817, 0.9610873460769653]"
"[0.548348069190979, 0.9611930847167969]"
"[0.735349178314209, 0.9604417681694031]"
"[0.5480854511260986, 0.9628502130508423]"
"[0.5872612595558167, 0.9572587609291077]"
"[0.7073487043380737, 0.9610845446586609]"
"[0.6136260032653809, 0.9600337147712708]"
"[0.7126800417900085, 0.9602160453796387]"
"[0.5858947038650513, 0.9652799367904663]"
"[0.5612943172454834, 0.9606909155845642]"
"[0.6078454256057739, 0.9634397029876709]"
"[0.7205119132995605, 0.9630478024482727]"
"[0.522142231464386, 0.9622641801834106]"
"[0.6243459582328796, 0.9609972834587097]"
"[0.47187432646751404, 0.9621347188949585]"
"[0.5487860441207886, 0.9604063034057617]"
"[0.4991181790828705, 0.9616820216178894]"
"[0.684872031211853, 0.9616235494613647]"
"[0.6639314889907837, 0.9613416790962219]"
"[0.5279121398925781, 0.9635416269302368]"
"[0.5431140661239624, 0.9631834626197815]"
"[0.5539074540138245, 0.96518474817276]"
"[0.5440267324447632, 0.9635029435157776]"
"[0.5599387884140015, 0.9617891311645508]"
"[0.4568827152252197, 0.9628355503082275]"
"[0.7652114629745483, 0.9637024998664856]"
"[0.7408007979393005, 0.9605764150619507]"
"[0.7515347599983215, 0.9624413251876831]"
"[0.77301025390625, 0.9615471363067627]"
"[0.528963565826416, 0.9606881737709045]"
"[0.6006699800491333, 0.9618337750434875]"
"[0.8539688587188721, 0.9632176160812378]"
"[0.6334538459777832, 0.9632945656776428]"
"[0.5297907590866089, 0.9600434303283691]"
"[0.5392150282859802, 0.9632546305656433]"
"[0.4582698345184326, 0.9631410241127014]"
"[0.8381342887878418, 0.9636167287826538]"
"[0.6323487758636475, 0.9623364210128784]"
"[0.5383685827255249, 0.9610691666603088]"
"[0.44689059257507324, 0.9619019031524658]"
"[0.494332492351532, 0.9622252583503723]"
"[0.584766149520874, 0.9638267755508423]"
"[0.5335826873779297, 0.9622417688369751]"
"[0.8783280849456787, 0.962560772895813]"
"[0.6684204936027527, 0.962053120136261]"
"[1.0618654489517212, 0.9649444818496704]"
"[0.7188738584518433, 0.9617581963539124]"
"[0.795606791973114, 0.9643241167068481]"
"[0.5832542777061462, 0.9594045877456665]"
"[0.6035557985305786, 0.9608305096626282]"
"[0.555023193359375, 0.9602949023246765]"
"[0.48476162552833557, 0.9609209895133972]"
"[0.5395554900169373, 0.9591296315193176]"
"[0.6206843256950378, 0.9615773558616638]"
"[0.5660340189933777, 0.9614972472190857]"
"[0.7197708487510681, 0.9614972472190857]"
"[0.6227830648422241, 0.9600528478622437]"
"[0.5836998224258423, 0.9634100794792175]"
"[0.6400112509727478, 0.960355281829834]"
"[0.7580410838127136, 0.9609366655349731]"
"[0.6599273681640625, 0.959507405757904]"
"[0.8993141651153564, 0.9605863690376282]"
"[0.525650143623352, 0.9618499875068665]"
"[0.6561993956565857, 0.9637300968170166]"
"[0.6857955455780029, 0.9637592434883118]"
"[0.706889808177948, 0.9641193747520447]"
"[0.6150733232498169, 0.9610084891319275]"
"[0.5911091566085815, 0.958116352558136]"
"[0.585252046585083, 0.9624679684638977]"
"[0.7331765294075012, 0.9611421227455139]"
"[0.8229928016662598, 0.9613990187644958]"
"[0.5527166724205017, 0.9625257849693298]"
"[0.5122785568237305, 0.9625977277755737]"
"[0.562219500541687, 0.9637597799301147]"
"[0.4003758430480957, 0.9644331336021423]"
"[0.7447737455368042, 0.9606747031211853]"
"[0.43561026453971863, 0.9621016383171082]"
"[0.5851917266845703, 0.9628170132637024]"
"[0.5921774506568909, 0.9609981179237366]"
"[0.6516980528831482, 0.9601073265075684]"
"[0.43173947930336, 0.9648893475532532]"
"[0.8562542796134949, 0.96074378490448]"
"[0.511675238609314, 0.9631063938140869]"
"[0.7620482444763184, 0.9610890746116638]"
"[0.5655731558799744, 0.9620423913002014]"
"[0.668242335319519, 0.961741030216217]"
"[0.6266384720802307, 0.9591773152351379]"
"[0.6768817901611328, 0.9635982513427734]"
"[0.5799110531806946, 0.9624924063682556]"
"[0.6875251531600952, 0.9576082229614258]"
"[0.6741286516189575, 0.9628167152404785]"
"[0.7884761095046997, 0.961805522441864]"
"[0.5150135159492493, 0.9617311954498291]"
"[0.7081549167633057, 0.9627302885055542]"
"[0.5059763789176941, 0.9629294276237488]"
"[0.43940469622612, 0.9622827172279358]"
"[0.516939640045166, 0.9615787267684937]"
"[0.5770292282104492, 0.9608962535858154]"
"[0.6836264729499817, 0.9644375443458557]"
"[0.8018482327461243, 0.9621542692184448]"
"[0.5487433671951294, 0.9612518548965454]"
"[0.7421702146530151, 0.961136519908905]"
"[0.5948874354362488, 0.9603970646858215]"
"[0.7920957803726196, 0.9613329172134399]"
"[0.6760338544845581, 0.9648229479789734]"
"[0.697496235370636, 0.960696816444397]"
"[0.6197156310081482, 0.9601497650146484]"
"[0.7030589580535889, 0.958673357963562]"
"[0.6158814430236816, 0.9639608263969421]"
"[0.7398277521133423, 0.9596326351165771]"
"[0.6793800592422485, 0.9628200531005859]"
"[0.4930752217769623, 0.9631214141845703]"
"[0.7622408270835876, 0.9650316834449768]"
"[0.6219650506973267, 0.9630210399627686]"
"[0.6906734108924866, 0.9631837606430054]"
"[0.7114171981811523, 0.9627335667610168]"
"[0.6783485412597656, 0.9620252847671509]"
"[0.5600905418395996, 0.9639939665794373]"
"[0.6479763388633728, 0.9626196026802063]"
"[0.5698166489601135, 0.9606717228889465]"
"[0.4694803059101105, 0.963314950466156]"
"[0.5621776580810547, 0.9615384936332703]"
"[0.45237022638320923, 0.9643377065658569]"
"[0.5960741639137268, 0.9591951966285706]"
"[0.4801633954048157, 0.9613448977470398]"
"[0.6318882703781128, 0.964512825012207]"
"[0.48821917176246643, 0.957723081111908]"
"[0.8939812779426575, 0.9602141380310059]"
"[0.5578349828720093, 0.9622399806976318]"
"[0.7732652425765991, 0.958029568195343]"
"[0.8679049015045166, 0.9609408378601074]"
"[0.5120953917503357, 0.9601286053657532]"
"[0.7379000186920166, 0.9647133350372314]"
"[0.7935205698013306, 0.9609707593917847]"
"[0.6126677989959717, 0.9615339636802673]"
"[0.5448319315910339, 0.9631013870239258]"
"[0.6709865927696228, 0.9626096487045288]"
"[0.7120151519775391, 0.9601045250892639]"
"[0.490754634141922, 0.9668635129928589]"
"[0.7387193441390991, 0.9627642631530762]"
"[0.6284118294715881, 0.9628313183784485]"
"[0.7149087190628052, 0.9616501927375793]"
"[0.6010347604751587, 0.9621118307113647]"
"[0.5291872024536133, 0.9617741703987122]"
"[0.6885524988174438, 0.9610143303871155]"
"[0.6072806715965271, 0.9625363349914551]"
"[0.4872691333293915, 0.9600314497947693]"
"[0.7278545498847961, 0.9615301489830017]"
"[0.5664758682250977, 0.9608915448188782]"
"[0.7474321722984314, 0.9640140533447266]"
"[0.5944341421127319, 0.9621591567993164]"
"[0.5729892253875732, 0.9630789160728455]"
"[0.6059930324554443, 0.9629515409469604]"
"[0.5524131059646606, 0.9593603014945984]"
"[0.7701929807662964, 0.9601472616195679]"
"[0.6056525111198425, 0.9608330726623535]"
"[0.5682533979415894, 0.9593687057495117]"
"[0.7061846256256104, 0.9602272510528564]"
"[0.4950787127017975, 0.9598317742347717]"
"[0.6964266300201416, 0.9629502892494202]"
"[0.7092261910438538, 0.9611326456069946]"
"[0.595137357711792, 0.9633814692497253]"
"[0.5906825065612793, 0.9606141448020935]"
"[0.646363377571106, 0.9562594294548035]"
"[0.770851731300354, 0.9593600034713745]"
"[0.49765369296073914, 0.9640923142433167]"
"[0.5809448957443237, 0.9617593288421631]"
"[1.2211201190948486, 0.9583187103271484]"
"[0.49256545305252075, 0.9620906710624695]"
"[0.6472339630126953, 0.9596273303031921]"
"[0.8012481927871704, 0.9608796834945679]"
"[0.5303717255592346, 0.9615511298179626]"
"[0.9136242866516113, 0.9622087478637695]"
"[0.6836174726486206, 0.960493803024292]"
"[0.561400294303894, 0.9619085788726807]"
"[0.7131243348121643, 0.9581921100616455]"
"[0.567994236946106, 0.9619418978691101]"
"[0.7449013590812683, 0.9624261856079102]"
"[0.7549854516983032, 0.961431622505188]"
"[0.6139460802078247, 0.9597300291061401]"
"[0.496696799993515, 0.9618635177612305]"
"[0.6425153017044067, 0.9620177745819092]"
"[0.5335642099380493, 0.9607008695602417]"
"[0.652748703956604, 0.9602077603340149]"
"[0.5636959075927734, 0.9602239727973938]"
"[0.6736418604850769, 0.9609296321868896]"
"[0.6018032431602478, 0.9609153270721436]"
"[0.5144854784011841, 0.9587683081626892]"
"[0.5388719439506531, 0.9567279815673828]"
"[0.4988735616207123, 0.9620069265365601]"
"[0.5661606788635254, 0.9594594836235046]"
"[0.6219982504844666, 0.9626388549804688]"
"[0.6179783344268799, 0.9601041674613953]"
"[0.5227147936820984, 0.9635036587715149]"
"[0.4823547303676605, 0.9596915245056152]"
"[0.5118347406387329, 0.9606364965438843]"
"[0.4514912962913513, 0.9620946049690247]"
"[0.7562371492385864, 0.9633362293243408]"
"[0.6456688642501831, 0.9604690074920654]"
"[0.5770639181137085, 0.96478670835495]"
"[0.616186797618866, 0.9631119966506958]"
"[0.7284465432167053, 0.9599288702011108]"
"[0.6660730838775635, 0.9609019160270691]"
"[0.6836222410202026, 0.960004448890686]"
"[0.9121915698051453, 0.9615468978881836]"
"[0.6693003177642822, 0.9602140784263611]"
"[0.5201760530471802, 0.9581576585769653]"
"[0.5704430937767029, 0.9633592367172241]"
"[0.5692115426063538, 0.9617757201194763]"
"[0.6633599996566772, 0.9603362679481506]"
"[0.5345888733863831, 0.9626436829566956]"
"[0.8612439632415771, 0.9608271718025208]"
"[0.48360246419906616, 0.9617518782615662]"
"[0.47275975346565247, 0.962540864944458]"
"[0.6778686046600342, 0.9592679142951965]"
"[0.6984049081802368, 0.9616061449050903]"
"[0.5563241243362427, 0.9589592814445496]"
"[0.6454768180847168, 0.9595657587051392]"
"[0.6468715071678162, 0.9623257517814636]"
"[0.7585393190383911, 0.9616016149520874]"
"[0.6032219529151917, 0.961402416229248]"
"[0.5660598874092102, 0.9604657888412476]"
"[0.5402433276176453, 0.9624642729759216]"
"[0.6000118255615234, 0.9589496850967407]"
"[0.738010048866272, 0.9607519507408142]"
"[0.719523012638092, 0.9607054591178894]"
"[0.6544939279556274, 0.9617373943328857]"
"[0.5171574950218201, 0.9625860452651978]"
"[0.528648316860199, 0.9631626009941101]"
"[0.6632312536239624, 0.9586555361747742]"
"[0.6804445385932922, 0.9640552997589111]"
"[0.5600458979606628, 0.9610069990158081]"
"[0.5775941610336304, 0.9591493010520935]"
"[0.7598809599876404, 0.9619873762130737]"
"[0.660767674446106, 0.9619576930999756]"
"[0.9221104383468628, 0.9617052674293518]"
"[0.5551746487617493, 0.9583333730697632]"
"[0.7103098630905151, 0.9598431587219238]"
"[0.5860216617584229, 0.9606164693832397]"
"[0.7077287435531616, 0.9621763825416565]"
"[0.7134425044059753, 0.9605035781860352]"
"[0.5504879355430603, 0.9671316146850586]"
"[0.5724413394927979, 0.961388111114502]"
"[0.6363825798034668, 0.9624212980270386]"
"[0.7028443813323975, 0.9648165106773376]"
"[0.6129199266433716, 0.9635696411132812]"
"[0.536307692527771, 0.9627248048782349]"
"[0.4961201846599579, 0.9622827768325806]"
"[0.7131754159927368, 0.9589299559593201]"
"[0.5494163036346436, 0.9599478840827942]"
"[0.618505597114563, 0.9604859948158264]"
"[0.7189543843269348, 0.9631078839302063]"
"[0.6921391487121582, 0.9598448276519775]"
"[0.5612159967422485, 0.9629027247428894]"
"[0.5671146512031555, 0.9605015516281128]"
"[0.49596694111824036, 0.95883709192276]"
"[0.75918048620224, 0.9638209939002991]"
"[0.7050451040267944, 0.966136634349823]"
"[0.584652304649353, 0.9595667123794556]"
"[0.7082483768463135, 0.9603397250175476]"
"[0.8638713955879211, 0.9572842717170715]"
"[0.5649434328079224, 0.9597829580307007]"
"[0.5919830799102783, 0.9621187448501587]"
"[0.8655412197113037, 0.9597492218017578]"
"[0.5609709620475769, 0.9603765606880188]"
"[0.7832477688789368, 0.9606625437736511]"
"[0.5817280411720276, 0.9611386060714722]"
"[0.4651452898979187, 0.9617732763290405]"
"[0.5835492610931396, 0.9624834060668945]"
"[0.772147536277771, 0.9625943899154663]"
"[0.5255963206291199, 0.9606518745422363]"
"[0.5223858952522278, 0.9618397951126099]"
"[0.6139934659004211, 0.9587109684944153]"
"[0.69400954246521, 0.9606442451477051]"
"[0.562777578830719, 0.9654641151428223]"
"[0.6729474067687988, 0.9594269394874573]"
"[0.543569803237915, 0.9648954272270203]"
"[0.5831906199455261, 0.9598087668418884]"
"[0.6304029822349548, 0.959710419178009]"
"[0.5674176812171936, 0.96220862865448]"
"[1.02205491065979, 0.9631197452545166]"
"[0.7601652145385742, 0.9640423655509949]"
"[0.6327041983604431, 0.9611143469810486]"
"[0.5203205347061157, 0.9626355171203613]"
"[0.5766379237174988, 0.9625455737113953]"
"[0.5945436954498291, 0.9625356793403625]"
"[0.6249225735664368, 0.9583902955055237]"
"[0.5811718106269836, 0.9607773423194885]"
"[0.6283384561538696, 0.9628133177757263]"
"[0.551680862903595, 0.9595895409584045]"
"[0.6324178576469421, 0.964065670967102]"
"[0.874373733997345, 0.9610187411308289]"
"[0.6284779906272888, 0.9638925790786743]"
"[0.5860568881034851, 0.9637725949287415]"
"[0.7266263961791992, 0.9617578387260437]"
"[0.6231845021247864, 0.9596551656723022]"
"[0.6778514385223389, 0.9614889621734619]"
"[0.7416998744010925, 0.9585838317871094]"
"[0.5297124981880188, 0.9610153436660767]"
"[0.4916722774505615, 0.9616602063179016]"
"[0.5276661515235901, 0.9641873240470886]"
"[0.46234890818595886, 0.9616338014602661]"
"[0.4671257436275482, 0.9618739485740662]"
"[0.5476801991462708, 0.9613328576087952]"
"[0.5718281269073486, 0.961323618888855]"
"[0.5750880837440491, 0.9575135707855225]"
"[0.6216456890106201, 0.9607208371162415]"
"[0.4678487777709961, 0.9613293409347534]"
"[0.6726782321929932, 0.9613807201385498]"
"[0.47217994928359985, 0.9612783789634705]"
"[0.7297578454017639, 0.9608981609344482]"
"[0.4999886751174927, 0.9625839591026306]"
"[0.6370149850845337, 0.9624155163764954]"
"[0.6042546033859253, 0.9635663628578186]"
"[0.817973792552948, 0.9606664180755615]"
"[1.1119152307510376, 0.9602916836738586]"
"[0.6096161603927612, 0.960394024848938]"
"[0.7127692103385925, 0.9582302570343018]"
"[0.8638274669647217, 0.9604160189628601]"
"[0.46290475130081177, 0.9633923172950745]"
"[0.43708887696266174, 0.9610902667045593]"
"[0.7994109392166138, 0.961904764175415]"
"[0.444383442401886, 0.9632614254951477]"
"[0.48743048310279846, 0.9612690210342407]"
"[0.6614342331886292, 0.961232602596283]"
"[0.6032029986381531, 0.9572352766990662]"
"[0.6107363104820251, 0.9624959230422974]"
"[0.6802032589912415, 0.9606431126594543]"
"[0.497292697429657, 0.9635650515556335]"
"[0.5574566721916199, 0.9615213871002197]"
"[0.6024079918861389, 0.9621043801307678]"
"[0.687476396560669, 0.9589026570320129]"
"[0.5676019191741943, 0.9624573588371277]"
"[0.6062961220741272, 0.9601742625236511]"
"[0.592434823513031, 0.9597106575965881]"
"[0.7166308164596558, 0.9621026515960693]"
"[0.8753674030303955, 0.9642638564109802]"
"[0.558305561542511, 0.961093544960022]"
"[0.4695587158203125, 0.9603713154792786]"
"[0.7561526894569397, 0.9609047174453735]"
"[0.9057483673095703, 0.9602446556091309]"
"[0.5295580625534058, 0.9596575498580933]"
"[0.5074610114097595, 0.9617086052894592]"
"[0.4624618589878082, 0.9608705043792725]"
"[0.8543480634689331, 0.9591787457466125]"
"[0.7589064836502075, 0.9626762270927429]"
"[0.7741087675094604, 0.9650587439537048]"
"[0.6762599945068359, 0.9608514904975891]"
"[0.5203805565834045, 0.9599076509475708]"
"[0.5862772464752197, 0.9620266556739807]"
"[0.5288993716239929, 0.962289571762085]"
"[0.5621721148490906, 0.9612963795661926]"
"[0.6777276396751404, 0.9584522843360901]"
"[0.5197014212608337, 0.9629201292991638]"
"[0.6820470094680786, 0.9618480205535889]"
"[0.5124353766441345, 0.9620903134346008]"
"[0.5187080502510071, 0.9607641100883484]"
"[0.6552563905715942, 0.9627587795257568]"
"[0.6784415245056152, 0.9607515931129456]"
"[0.5019283890724182, 0.9633802771568298]"
"[0.5015037059783936, 0.9617068767547607]"
"[0.5458943843841553, 0.9610292315483093]"
"[0.5490652322769165, 0.9582458734512329]"
"[0.6188662648200989, 0.9639472365379333]"
"[0.532661497592926, 0.9627220034599304]"
"[0.46620631217956543, 0.9602381587028503]"
"[0.6888789534568787, 0.9604519605636597]"
"[0.782342255115509, 0.958210289478302]"
"[0.9025321006774902, 0.9628034830093384]"
"[0.49010467529296875, 0.9606707096099854]"
"[0.9025924205780029, 0.9639608263969421]"
"[0.5360907912254333, 0.9572566747665405]"
"[0.6369291543960571, 0.9600080847740173]"
"[0.5747812986373901, 0.9593653678894043]"
"[0.5161651372909546, 0.9612037539482117]"
"[0.6636998653411865, 0.9613427519798279]"
"[0.713218092918396, 0.9626312851905823]"
"[0.42573046684265137, 0.9626749753952026]"
"[0.5161415934562683, 0.9606117606163025]"
"[0.6802382469177246, 0.9596301317214966]"
"[0.5776020288467407, 0.962311327457428]"
"[0.43655484914779663, 0.9637001156806946]"
"[0.49948203563690186, 0.9624940156936646]"
"[0.5275097489356995, 0.9599288105964661]"
"[0.5353807806968689, 0.9631914496421814]"
"[0.5265167951583862, 0.9646128416061401]"
"[0.5100902318954468, 0.9619591236114502]"
"[0.7353109121322632, 0.9618808627128601]"
"[0.508300244808197, 0.9639384150505066]"
"[0.6687572002410889, 0.9640419483184814]"
"[0.5642090439796448, 0.9632776975631714]"
"[0.6371132731437683, 0.960456907749176]"
"[0.789577066898346, 0.9623357653617859]"
