r,accuracy
"[0.5101568698883057, 0.9613987803459167]"
"[0.5137097239494324, 0.9616019129753113]"
"[0.5202293992042542, 0.9631937146186829]"
"[0.7119415998458862, 0.9643630385398865]"
"[0.696197509765625, 0.9604755640029907]"
"[0.573300838470459, 0.9610629081726074]"
"[0.620492696762085, 0.9601989984512329]"
"[0.446617990732193, 0.9622276425361633]"
"[0.7181805968284607, 0.9585145711898804]"
"[0.5177282094955444, 0.9633482098579407]"
"[0.645221471786499, 0.961782693862915]"
"[0.9306108951568604, 0.960042417049408]"
"[0.7039706707000732, 0.9580239057540894]"
"[0.5936810374259949, 0.9635120034217834]"
"[0.5493847727775574, 0.9628260731697083]"
"[0.620833158493042, 0.9635845422744751]"
"[0.5797021985054016, 0.9610960483551025]"
"[0.5227208137512207, 0.9583613872528076]"
"[0.5966784358024597, 0.9610344767570496]"
"[0.6265385150909424, 0.960689902305603]"
"[0.7375838160514832, 0.9616035223007202]"
"[0.510468602180481, 0.9619140625]"
"[0.5463888645172119, 0.9592085480690002]"
"[0.5126540660858154, 0.9614856839179993]"
"[0.513855516910553, 0.9621161222457886]"
"[0.6297340989112854, 0.96358722448349]"
"[0.7686846256256104, 0.961281955242157]"
"[0.6222782731056213, 0.9630399942398071]"
"[0.542964518070221, 0.9621822834014893]"
"[0.6217683553695679, 0.9607360363006592]"
"[0.798877477645874, 0.9601812958717346]"
"[0.5972481369972229, 0.9620951414108276]"
"[0.6316159963607788, 0.9615559577941895]"
"[0.6475924849510193, 0.9598512649536133]"
"[0.6558910012245178, 0.9587856531143188]"
"[0.6738808155059814, 0.964323103427887]"
"[0.6920580267906189, 0.9606881737709045]"
"[0.48875218629837036, 0.9607226252555847]"
"[0.6190103888511658, 0.9604726433753967]"
"[0.5871622562408447, 0.9617102146148682]"
"[0.7575423121452332, 0.962699830532074]"
"[0.4936010241508484, 0.9615132212638855]"
"[0.5060471296310425, 0.9629513621330261]"
"[0.7436659336090088, 0.9595692753791809]"
"[0.6149839758872986, 0.961647629737854]"
"[0.5495637655258179, 0.9620962142944336]"
"[0.7225744128227234, 0.9614590406417847]"
"[0.7002766132354736, 0.9615912437438965]"
"[0.6347394585609436, 0.9599505066871643]"
"[0.5560089945793152, 0.9622959494590759]"
"[0.7688403129577637, 0.9608826637268066]"
"[0.5751702189445496, 0.959381639957428]"
"[0.6592839956283569, 0.962560772895813]"
"[0.7093073129653931, 0.9641073346138]"
"[0.8065669536590576, 0.9601813554763794]"
"[0.6218706965446472, 0.9608750343322754]"
"[0.4929885268211365, 0.9607964158058167]"
"[0.5691297650337219, 0.9637500047683716]"
"[0.5169722437858582, 0.963753879070282]"
"[0.7658350467681885, 0.9621363282203674]"
"[0.4810836613178253, 0.9622090458869934]"
"[0.515454888343811, 0.9610419869422913]"
"[0.5826054215431213, 0.9624605774879456]"
"[0.7274549007415771, 0.9637592434883118]"
"[0.6455865502357483, 0.9600229263305664]"
"[0.650877058506012, 0.9608802199363708]"
"[0.5382749438285828, 0.9609047174453735]"
"[0.6449341177940369, 0.9613615274429321]"
"[0.693510890007019, 0.9622926115989685]"
"[0.48407047986984253, 0.9629515409469604]"
"[0.569384753704071, 0.9607778787612915]"
"[0.7055842280387878, 0.9583591818809509]"
"[0.589576244354248, 0.9624212980270386]"
"[0.6507781744003296, 0.9597445726394653]"
"[0.5496141910552979, 0.9603022933006287]"
"[0.7129960060119629, 0.9631929993629456]"
"[0.4600989818572998, 0.9620587825775146]"
"[0.5727555751800537, 0.9622122645378113]"
"[0.6668877005577087, 0.9598451852798462]"
"[0.7268819808959961, 0.9607236385345459]"
"[0.9392794370651245, 0.9617689847946167]"
"[0.5731086730957031, 0.9597248435020447]"
"[0.5056139230728149, 0.9626157283782959]"
"[0.732429563999176, 0.9617063403129578]"
"[0.6720958948135376, 0.9616957306861877]"
"[0.5193712115287781, 0.959983766078949]"
"[0.6211069822311401, 0.9612689018249512]"
"[0.6746389269828796, 0.9606342911720276]"
"[0.7754337191581726, 0.9606290459632874]"
"[0.5659130811691284, 0.9609997868537903]"
"[0.590462327003479, 0.9638314843177795]"
"[0.5111525058746338, 0.9622739553451538]"
"[0.6072239279747009, 0.9630684852600098]"
"[0.5823076367378235, 0.9618726372718811]"
"[0.6814148426055908, 0.9622775316238403]"
"[0.5062511563301086, 0.9621237516403198]"
"[0.7540271282196045, 0.9604913592338562]"
"[0.5572890043258667, 0.9623104929924011]"
"[0.6224731802940369, 0.962737500667572]"
"[0.49958059191703796, 0.9648606181144714]"
"[0.718849778175354, 0.9641766548156738]"
"[0.8605008721351624, 0.9598621129989624]"
"[0.5250377058982849, 0.9621391892433167]"
"[0.8311328887939453, 0.9594031572341919]"
"[0.4194192588329315, 0.9642543196678162]"
"[0.7855826020240784, 0.9599612951278687]"
"[0.5327271223068237, 0.9604743123054504]"
"[0.9169149398803711, 0.9606099128723145]"
"[0.49387413263320923, 0.9612494707107544]"
"[0.9088346362113953, 0.9594594836235046]"
"[0.8619148135185242, 0.9643579125404358]"
"[0.5524058938026428, 0.9610682725906372]"
"[0.6607382297515869, 0.961898922920227]"
