model_num,lambda,loss,accuracy,epoch,l2,l0,re loss
1,1e-05,0.240474134683609,0.9528084993362427,1760,453.67254638671875,444.45721435546875,0.004444572143256664
2,1e-05,0.1753450185060501,0.9597381949424744,1760,408.2393493652344,448.427734375,0.004484277218580246
3,1e-05,0.32499855756759644,0.9276196956634521,1760,558.1353759765625,467.37579345703125,0.004673757590353489
4,1e-05,0.2277936041355133,0.9411933422088623,1760,418.70587158203125,418.19921875,0.004181992262601852
5,1e-05,0.18377943336963654,0.9579710364341736,1760,379.5624084472656,419.7513427734375,0.004197513684630394
6,1e-05,0.19827571511268616,0.956410825252533,1760,440.6922607421875,475.590087890625,0.0047559007070958614
7,1e-05,0.3160586357116699,0.9227581024169922,1760,416.0857849121094,440.732421875,0.004407323896884918
8,1e-05,0.20864926278591156,0.9468586444854736,1760,368.52813720703125,445.44097900390625,0.004454409703612328
9,1e-05,0.16190455853939056,0.9632748365402222,1760,423.2854309082031,440.55987548828125,0.004405598621815443
10,1e-05,0.20160482823848724,0.9510135054588318,1760,306.9794616699219,424.216796875,0.004242167808115482
11,1e-05,0.18967989087104797,0.954689621925354,1760,538.6517333984375,456.1005859375,0.004561005625873804
12,1e-05,0.25273457169532776,0.93048495054245,1760,457.07379150390625,446.02337646484375,0.0044602337293326855
13,1e-05,0.210981085896492,0.9459962248802185,1760,300.48101806640625,432.78546142578125,0.004327854141592979
14,1e-05,0.2010297030210495,0.9532473087310791,1760,405.879150390625,474.96783447265625,0.004749678075313568
15,1e-05,0.18542858958244324,0.9715322256088257,1760,444.3634948730469,451.893310546875,0.00451893312856555
1,1.5e-05,0.1835041493177414,0.956250011920929,1760,305.0091857910156,467.8060302734375,0.007017089985311031
2,1.5e-05,0.1818263977766037,0.9575619101524353,1760,378.5604248046875,375.7373046875,0.005636059679090977
3,1.5e-05,0.20128145813941956,0.9518678188323975,1760,587.1869506835938,420.8858642578125,0.006313288118690252
4,1.5e-05,0.21987184882164001,0.9435372352600098,1760,321.98516845703125,486.6462097167969,0.007299693301320076
5,1.5e-05,0.16777640581130981,0.9633526802062988,1760,553.3720703125,429.56365966796875,0.006443454418331385
6,1.5e-05,0.2862006723880768,0.9287958145141602,1760,422.70233154296875,390.6352844238281,0.0058595286682248116
7,1.5e-05,0.2834646999835968,0.9244510531425476,1760,320.2662658691406,360.2237854003906,0.005403357092291117
8,1.5e-05,0.24556590616703033,0.9459816217422485,1760,353.2230224609375,438.0259094238281,0.006570388562977314
9,1.5e-05,0.16282226145267487,0.9613856077194214,1760,402.90631103515625,446.6993408203125,0.006700490135699511
10,1.5e-05,0.18453052639961243,0.9561787843704224,1760,446.5865478515625,417.7647705078125,0.0062664709985256195
11,1.5e-05,0.24334150552749634,0.9367868900299072,1760,525.2091674804688,414.1591796875,0.0062123872339725494
12,1.5e-05,0.19529737532138824,0.9483243823051453,1760,520.8458862304688,424.415771484375,0.006366236135363579
13,1.5e-05,0.20221811532974243,0.9491609930992126,1760,384.74078369140625,408.79180908203125,0.006131876725703478
14,1.5e-05,0.18815119564533234,0.9537999629974365,1760,341.77581787109375,452.2923583984375,0.006784385535866022
15,1.5e-05,0.23343290388584137,0.9387694001197815,1760,572.318115234375,423.1805114746094,0.006347707472741604
1,2e-05,0.22825919091701508,0.9463070034980774,1760,431.4971923828125,373.8453369140625,0.007476906292140484
2,2e-05,0.21070586144924164,0.9488208889961243,1760,397.9908447265625,412.83892822265625,0.008256778120994568
